time,latitude,longitude,mag,net
2013-11-22T17:18:36.000Z,34.1955,-117.4992,1.2,ci
2013-11-22T16:10:26.000Z,33.7015,-116.811,1.3,ci
2013-11-22T15:36:17.000Z,58.9916,-149.5256,1.9,ak
2013-11-22T15:27:42.160Z,-5.0968,153.9025,5.4,us
2013-11-22T15:12:06.050Z,39.1356,22.3875,4.1,us
2013-11-22T15:10:19.000Z,62.5582,-151.0816,1.9,ak
2013-11-22T15:06:01.680Z,-57.6663,-25.3319,5.2,us
2013-11-22T15:03:18.000Z,60.2119,-151.1461,1.8,ak
2013-11-22T14:33:59.510Z,36.1692,-96.9626,3.7,us
2013-11-22T14:30:15.300Z,38.8972,-123.0005,1.4,nc
2013-11-22T14:03:23.800Z,19.42,-67.0662,3.2,pr
2013-11-22T14:03:12.200Z,38.7762,-122.729,2.5,nc
2013-11-22T13:58:12.700Z,40.6375,-121.2262,1.5,nc
2013-11-22T13:58:07.000Z,59.9628,-153.589,4.4,ak
2013-11-22T13:35:20.900Z,33.9602,-116.8615,1.2,ci
2013-11-22T13:13:18.400Z,33.4647,-118.0073,1.9,ci
2013-11-22T13:10:15.600Z,34.093,-116.6665,1.1,ci
2013-11-22T13:08:58.400Z,17.9582,-68.463,2.9,pr
2013-11-22T12:53:40.000Z,35.5867,-120.9437,1,nc
2013-11-22T12:51:11.500Z,18.3505,-67.0951,2.1,pr
2013-11-22T12:32:16.100Z,-5.8229,129.9533,4.4,us
2013-11-22T11:35:11.000Z,61.0993,-150.6831,1.8,ak
2013-11-22T11:16:57.000Z,61.0497,-148.9732,2,ak
2013-11-22T10:58:19.000Z,62.9695,-149.5001,1.8,ak
2013-11-22T10:47:29.020Z,35.723,-97.381,2,us
2013-11-22T10:18:19.900Z,19.3668,-155.2462,2.1,hv
2013-11-22T09:58:17.000Z,60.7015,-151.5189,1.9,ak
2013-11-22T09:47:59.000Z,33.7143,-118.0837,1.4,ci
2013-11-22T09:46:44.200Z,33.9483,-118.409,1.4,ci
2013-11-22T09:46:00.400Z,33.9528,-118.414,1.5,ci
2013-11-22T09:40:47.000Z,63.4419,-147.1873,1.1,ak
2013-11-22T09:29:10.500Z,36.0477,-117.4668,1.6,ci
2013-11-22T09:12:35.000Z,65.003,-147.5441,1.4,ak
2013-11-22T09:06:29.000Z,33.1912,-115.5758,1.2,ci
2013-11-22T09:06:01.000Z,63.2141,-151.3296,2.2,ak
2013-11-22T09:03:18.000Z,61.6649,-146.5728,2.2,ak
2013-11-22T08:40:54.000Z,54.3731,-160.6565,3.4,ak
2013-11-22T08:18:50.930Z,44.6719,124.1367,4.9,us
2013-11-22T08:00:06.000Z,60.9924,-150.453,2.9,ak
2013-11-22T07:05:05.800Z,19.2998,-155.37,1.7,hv
2013-11-22T06:59:00.000Z,-31.6509,-69.6468,4.4,us
2013-11-22T06:53:39.110Z,-8.5713,118.4015,4.6,us
2013-11-22T06:51:25.550Z,34.4258,45.5818,5.4,us
2013-11-22T06:46:40.100Z,19.3122,-155.1377,2.4,hv
2013-11-22T06:29:23.100Z,38.8438,-122.828,2.7,nc
2013-11-22T06:21:04.300Z,38.8087,-122.8137,1.1,nc
2013-11-22T06:13:14.520Z,37.2292,144.8085,4.7,us
2013-11-22T06:08:54.100Z,38.1515,-112.5272,1.5,uu
2013-11-22T05:37:17.710Z,-0.195,123.0122,5.1,us
2013-11-22T05:35:17.230Z,35.7593,-97.3626,2.1,us
2013-11-22T04:53:43.420Z,-24.2011,179.1424,4.5,us
2013-11-22T04:29:48.000Z,62.4771,-150.8232,2,ak
2013-11-22T03:57:43.000Z,60.4515,-152.6882,2.4,ak
2013-11-22T03:29:18.750Z,38.4964,43.3338,4.6,us
2013-11-22T03:17:09.450Z,46.5115,152.998,5.3,us
2013-11-22T02:33:51.400Z,38.7298,-122.4137,1.1,nc
2013-11-22T02:04:45.000Z,65.1248,-146.4695,1.9,ak
2013-11-22T01:06:59.700Z,35.2592,-118.5645,1.3,ci
2013-11-22T00:47:16.000Z,33.19,-115.5748,1.3,ci
2013-11-22T00:43:16.600Z,37.561,-118.8615,2.7,nc
2013-11-22T00:18:38.100Z,44.0927,-121.3178,1.9,uw
2013-11-22T00:18:29.000Z,60.1664,-147.4623,2.3,ak
2013-11-22T00:11:00.200Z,35.9685,-117.896,1,ci
2013-11-21T23:52:41.000Z,51.5696,-178.93,1.9,ak
2013-11-21T23:49:45.190Z,28.2413,101.9538,4.4,us
2013-11-21T23:46:33.000Z,58.9606,-153.2153,3,ak
2013-11-21T23:34:53.400Z,37.2228,-121.6002,1.4,nc
2013-11-21T23:27:42.300Z,18.8577,-67.4899,2.9,pr
2013-11-21T23:25:19.200Z,32.9993,-116.4477,1,ci
2013-11-21T23:23:49.000Z,62.7334,-148.9602,1.2,ak
2013-11-21T23:09:21.900Z,38.807,-122.819,1.1,nc
2013-11-21T23:07:50.000Z,61.1378,-139.9968,1.5,ak
2013-11-21T23:03:49.000Z,61.1843,-140.0278,1.5,ak
2013-11-21T23:01:55.000Z,61.4138,-151.3736,2.1,ak
2013-11-21T22:58:31.700Z,34.263,-116.4425,1.1,ci
2013-11-21T22:57:44.000Z,51.6625,-177.7975,1.4,ak
